"rep_id","calib_seed","c","source_row","sample_row_id","cruise","in_calib_10","in_calib_25","in_calib_50","selection_rank_within_class","x_temperature","x_salinity"
1,2026081301,1,1095,1,"ECOHAB_1",1,1,1,1,12.53,31.59
1,2026081301,1,5640,5,"ECOHAB_5",0,1,1,2,13.61,32.29
1,2026081301,1,4615,4,"ECOHAB_4",0,0,1,3,15.01,31.49
1,2026081301,2,2078,9,"ECOHAB_2",1,1,1,1,12.4,32.43
1,2026081301,2,273,7,"ECOHAB_1",1,1,1,2,12.9,31.17
1,2026081301,2,3091,21,"ECOHAB_3",0,1,1,3,15.33,32.11
1,2026081301,2,7458,26,"ECOHAB_6",0,1,1,4,12.41,32.08
1,2026081301,2,2963,19,"ECOHAB_3",0,1,1,5,14.78,32.08
1,2026081301,2,2915,18,"ECOHAB_3",0,0,1,6,15.75,32.05
1,2026081301,2,2734,14,"ECOHAB_3",0,0,1,7,16.83,32.05
1,2026081301,2,2329,13,"ECOHAB_2",0,0,1,8,14.3,32.01
1,2026081301,2,2974,20,"ECOHAB_3",0,0,1,9,14.61,32.05
1,2026081301,2,2245,10,"ECOHAB_2",0,0,1,10,15.6,31.97
1,2026081301,3,1815,30,"ECOHAB_2",1,1,1,1,13.5,32.04
1,2026081301,3,700,27,"ECOHAB_1",1,1,1,2,10.98,31.56
1,2026081301,3,3367,35,"ECOHAB_3",0,1,1,3,12.57,32.3
1,2026081301,3,6436,38,"ECOHAB_6",0,1,1,4,11.33,33.1
1,2026081301,3,3598,36,"ECOHAB_3",0,0,1,5,12.89,32.29
1,2026081301,3,1608,29,"ECOHAB_2",0,0,1,6,13.3,31.98
1,2026081301,3,1423,28,"ECOHAB_2",0,0,1,7,12.2,32.51
1,2026081301,4,5786,54,"ECOHAB_5",1,1,1,1,12.94,32.49
1,2026081301,4,5787,55,"ECOHAB_5",1,1,1,2,12.35,32.6
1,2026081301,4,5773,53,"ECOHAB_5",0,1,1,3,10.74,32.78
1,2026081301,4,1888,44,"ECOHAB_2",0,1,1,4,13.8,31.52
1,2026081301,4,3295,49,"ECOHAB_3",0,1,1,5,12.27,32.31
1,2026081301,4,6599,58,"ECOHAB_6",0,1,1,6,10.14,32.39
1,2026081301,4,1532,42,"ECOHAB_2",0,0,1,7,13.2,32.29
1,2026081301,4,2386,47,"ECOHAB_2",0,0,1,8,13.1,31.7
1,2026081301,4,1740,43,"ECOHAB_2",0,0,1,9,13.9,31.63
